TOTAL_EMPTY_HOUSES,POP_DENS_sqkm,LOW_INCOME_PERC,LOWMOD_INCOME_PERC,WHITE_POP_PERC,BLACK_POP_PERC,O18_POP_PERC,IS_HOTSPOT
48,337.87,0.53,0.61,0.03,0.90,0.73,0
49,4781.53,0.04,0.15,0.72,0.09,0.90,0
112,10636.79,1.00,1.00,0.33,0.58,0.78,0
245,8442.40,0.06,0.11,0.64,0.18,0.90,0
567,6199.88,0.08,0.08,0.70,0.13,0.98,0
83,8222.30,0.06,0.06,0.60,0.27,0.91,0
2,376.51,0.00,0.00,0.42,0.01,0.80,0
16,1238.28,0.00,0.05,0.81,0.08,0.96,0
48,16575.09,0.04,0.18,0.72,0.14,0.97,0
470,22930.21,0.03,0.11,0.73,0.11,0.95,0
297,29059.68,0.09,0.17,0.78,0.09,0.97,0
57,14520.51,0.11,0.15,0.40,0.48,0.88,0
27,3651.85,0.13,0.13,0.51,0.24,0.90,0
176,39190.21,0.07,0.07,0.79,0.08,0.97,0
25,9666.81,0.07,0.32,0.61,0.24,0.80,0
14,326.65,0.45,0.60,0.60,0.11,0.68,0
112,702.99,0.16,0.33,0.66,0.16,0.65,0
18,284.21,0.47,0.51,0.60,0.15,0.74,0
6,3241.85,0.17,0.20,0.43,0.38,0.84,0
64,2845.63,0.22,0.22,0.09,0.76,0.77,0
12,2642.01,0.53,0.71,0.03,0.80,0.79,0
78,3989.13,0.93,1.00,0.01,0.92,0.76,0
103,8686.90,0.91,1.00,0.02,0.93,0.70,0
63,9538.42,0.89,1.00,0.01,0.91,0.70,0
31,9182.44,0.49,0.52,0.04,0.90,0.77,0
66,4465.81,0.24,0.43,0.34,0.43,0.84,0
82,5187.86,0.42,0.74,0.32,0.46,0.86,0
49,5861.78,0.44,0.51,0.44,0.33,0.84,0
83,6564.30,0.30,0.38,0.02,0.94,0.84,0
62,19506.88,0.09,0.31,0.41,0.46,0.93,0
87,1852.73,0.82,0.90,0.02,0.93,0.76,0
41,8939.79,0.38,0.42,0.17,0.74,0.74,0
30,10241.35,0.54,0.62,0.42,0.46,0.80,0
60,11936.58,0.46,0.56,0.26,0.63,0.77,0
68,3304.43,0.85,0.91,0.03,0.87,0.78,0
42,10182.63,0.53,0.83,0.21,0.69,0.74,0
98,7522.58,0.27,0.36,0.29,0.60,0.81,0
19,8737.58,0.01,0.10,0.55,0.28,0.82,0
